Designator,Mid X,Mid Y,Rotation,Layer
R27,141.25,-75.2335,270.0,bottom
R28,143.75,-75.2335,270.0,bottom
R29,146.25,-75.25,270.0,bottom
R3,81.25,-75.209,270.0,bottom
R30,148.75,-75.25,270.0,bottom
R31,151.25,-75.25,270.0,bottom
R32,153.75,-75.25,270.0,bottom
R33,197.25,-117.25,270.0,bottom
R34,76.25,-85.75,270.0,bottom
R35,78.75,-85.75,270.0,bottom
R36,81.25,-85.75,270.0,bottom
R37,83.75,-85.75,270.0,bottom
R38,86.25,-85.75,270.0,bottom
R39,88.75,-85.75,270.0,bottom
R4,83.75,-75.209,270.0,bottom
R40,91.25,-85.75,270.0,bottom
R41,93.75,-85.75,270.0,bottom
R42,96.25,-85.75,270.0,bottom
R43,98.75,-85.75,270.0,bottom
R44,101.25,-85.75,270.0,bottom
R45,103.75,-85.75,270.0,bottom
R46,106.25,-85.75,270.0,bottom
R47,108.75,-85.75,270.0,bottom
R48,111.25,-85.75,270.0,bottom
R49,113.75,-85.75,270.0,bottom
R5,86.25,-75.209,270.0,bottom
R50,116.25,-85.75,270.0,bottom
R51,118.75,-85.75,270.0,bottom
R52,121.25,-85.75,270.0,bottom
R53,123.75,-85.75,270.0,bottom
R54,126.25,-85.75,270.0,bottom
R55,128.75,-85.75,270.0,bottom
R56,131.25,-85.75,270.0,bottom
R57,133.75,-85.75,270.0,bottom
R58,136.25,-85.75,270.0,bottom
R59,138.75,-85.75,270.0,bottom
R6,88.75,-75.168,270.0,bottom
R60,141.25,-85.75,270.0,bottom
R61,143.75,-85.75,270.0,bottom
R62,146.25,-85.75,270.0,bottom
R63,148.75,-85.75,270.0,bottom
R64,151.25,-85.75,270.0,bottom
R65,153.75,-85.75,270.0,bottom
R66,183.25,-75.25,270.0,bottom
R67,93.84,-96.25,270.0,bottom
R68,91.26,-96.25,90.0,bottom
R69,88.76,-96.25,90.0,bottom
R7,91.25,-75.168,270.0,bottom
R70,185.75,-85.75,270.0,bottom
R71,183.25,-85.75,270.0,bottom
R72,188.25,-75.25,270.0,bottom
R73,185.75,-75.25,270.0,bottom
R74,194.75,-117.25,270.0,bottom
R75,197.25,-106.75,270.0,bottom
R76,194.75,-106.75,270.0,bottom
R77,197.25,-75.25,270.0,bottom
R78,194.75,-75.25,270.0,bottom
R79,197.25,-96.25,270.0,bottom
R8,93.75,-75.218,270.0,bottom
R80,194.75,-96.25,270.0,bottom
R81,179.25,-85.75,270.0,bottom
R82,176.75,-85.75,270.0,bottom
R83,174.25,-85.75,270.0,bottom
R84,171.75,-85.75,270.0,bottom
R85,169.25,-85.75,270.0,bottom
R86,166.75,-85.75,270.0,bottom
R87,192.25,-85.75,270.0,bottom
R88,174.25,-75.25,270.0,bottom
R89,166.75,-75.25,270.0,bottom
R9,96.25,-75.209,270.0,bottom
R90,157.75,-75.25,270.0,bottom
R91,197.25,-85.75,270.0,bottom
R92,194.75,-85.75,270.0,bottom
R93,162.75,-75.25,270.0,bottom
R94,160.25,-75.25,270.0,bottom
R95,169.25,-75.25,270.0,bottom
R96,179.25,-75.25,270.0,bottom
R97,176.75,-75.25,270.0,bottom
R98,171.75,-75.25,270.0,bottom
R99,162.75,-85.75,270.0,bottom
U1,101.0,-111.0,180.0,bottom
U10,140.475,-98.0,180.0,bottom
U11,135.0,-111.0,180.0,bottom
U12,129.525,-98.0,180.0,bottom
U13,187.475,-111.0,180.0,bottom
U14,182.0,-98.0,180.0,bottom
U15,172.0,-98.0,180.0,bottom
U16,177.0,-111.0,180.0,bottom
U17,166.5,-111.0,180.0,bottom
U18,198.3,-37.075,0.0,bottom
U2,107.475,-98.0,180.0,bottom
U3,113.0,-111.0,180.0,bottom
U4,118.475,-98.0,180.0,bottom
U5,124.0,-111.0,180.0,bottom
U6,161.0,-98.0,180.0,bottom
U7,156.0,-111.0,180.0,bottom
U8,151.0,-98.0,180.0,bottom
U9,146.0,-111.0,180.0,bottom
